City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Carnarvon,AU,-24.8667,113.6333,46.47,46,0,11.5,clear sky
125,Vao,NC,-22.6667,167.4833,66.43,67,0,6.8,clear sky
126,Dunedin,NZ,-45.8742,170.5036,45.81,70,100,17.0,overcast clouds
127,Semporna,MY,4.4818,118.6112,75.4,80,69,5.35,heavy intensity rain
128,Carinhanha,BR,-14.3047,-43.765,75.34,33,98,4.34,overcast clouds
129,Kyra,RU,49.5776,111.9753,54.3,90,58,3.04,broken clouds
130,Landerneau,FR,48.4525,-4.2525,59.76,85,75,6.91,broken clouds
131,Ampanihy,MG,-24.7,44.75,62.53,81,0,3.44,clear sky
132,Codrington,AU,-38.2667,141.9667,42.03,94,100,9.19,light rain
133,Mecca,SA,21.4267,39.8261,88.14,47,46,9.19,scattered clouds
134,Glenwood Springs,US,39.5505,-107.3248,84.88,76,90,1.99,overcast clouds
135,Kodiak,US,57.79,-152.4072,54.91,82,90,6.91,overcast clouds
136,Talnakh,RU,69.4865,88.3972,65.1,54,100,4.41,overcast clouds
137,Nikki,BJ,9.9401,3.2108,71.11,95,100,4.34,overcast clouds
138,Plettenberg Bay,ZA,-34.0527,23.3716,55.94,81,4,3.71,clear sky
139,Pemangkat,ID,1.1667,108.9667,78.6,87,75,7.81,broken clouds
140,Santa Cruz De Tenerife,ES,28.4682,-16.2546,75.72,87,75,1.01,light intensity drizzle
141,Kahului,US,20.8947,-156.47,85.26,65,40,23.02,scattered clouds
142,Embrach,CH,47.5056,8.5941,60.82,85,20,1.14,few clouds
143,Fereydun Kenar,IR,36.6864,52.5225,79.11,72,99,5.95,overcast clouds
144,Torbay,CA,47.6666,-52.7314,68.76,66,90,8.05,overcast clouds
145,Opotiki,NZ,-38.0833,177.2833,50.38,94,99,6.17,overcast clouds
146,Awjilah,LY,29.1081,21.2869,89.06,25,0,13.62,clear sky
147,Aleksandrov Gay,RU,50.147,48.5704,83.84,32,15,5.68,few clouds
148,Mount Gambier,AU,-37.8333,140.7667,42.71,100,75,9.22,broken clouds
149,Manokwari,ID,-0.8667,134.0833,78.37,78,95,2.53,overcast clouds
150,Goroka,PG,-6.0834,145.3873,61.16,96,96,0.18,overcast clouds
