City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Zinder,NE,2021-08-03 00:34:07,13.8072,8.9881,78.51,68,97,11.92
104,Tiksi,RU,2021-08-03 00:34:08,71.6872,128.8694,50.65,59,46,5.93
105,Olafsvik,IS,2021-08-03 00:34:00,64.8945,-23.7142,52.48,78,100,5.12
106,Comodoro Rivadavia,AR,2021-08-03 00:34:08,-45.8667,-67.5,57.06,19,0,17.27
107,Melville,US,2021-08-03 00:34:08,40.7934,-73.4151,78.75,63,1,4.61
108,Hasaki,JP,2021-08-03 00:34:09,35.7333,140.8333,86.29,79,64,12.71
109,Vardo,NO,2021-08-03 00:29:29,70.3705,31.1107,47.71,86,51,1.03
110,Vestmannaeyjar,IS,2021-08-03 00:34:09,63.4427,-20.2734,52.54,83,100,4.61
111,Simao,CN,2021-08-03 00:34:09,22.7886,100.9748,68.77,94,39,1.48
112,Codrington,AU,2021-08-03 00:34:09,-38.2667,141.9667,51.69,76,91,20.11
113,Barrow,US,2021-08-03 00:32:08,71.2906,-156.7887,44.62,81,90,18.41
114,Bredasdorp,ZA,2021-08-03 00:34:10,-34.5322,20.0403,54.28,93,11,5.75
115,Isiolo,KE,2021-08-03 00:34:10,0.3546,37.5822,63.27,73,94,9.51
116,Marion,US,2021-08-03 00:34:10,39.7684,-86.1555,75.54,59,75,8.05
117,Vermilion,US,2021-08-03 00:34:11,40.1667,-87.7506,75.79,84,0,4.85
118,Kuldiga,LV,2021-08-03 00:34:11,56.974,21.9572,60.49,95,1,5.1
119,Hohhot,CN,2021-08-03 00:34:11,40.8106,111.6522,66.49,82,20,2.24
120,Maragogi,BR,2021-08-03 00:34:12,-9.0122,-35.2225,72.72,90,55,8.79
121,Vostok,RU,2021-08-03 00:34:12,46.4856,135.8833,73.72,79,99,2.35
122,Tuatapere,NZ,2021-08-03 00:34:12,-46.1333,167.6833,49.82,70,36,4.85
123,Wanning,CN,2021-08-03 00:34:12,18.8003,110.3967,85.26,74,100,8.1
124,Saint-Pierre,RE,2021-08-03 00:32:53,-21.3393,55.4781,67.68,62,90,10.36
125,Constitucion,CL,2021-08-03 00:34:13,-35.3333,-72.4167,53.47,68,0,5.84
126,Rudnogorsk,RU,2021-08-03 00:34:13,57.2639,103.7519,60.26,67,100,2.57
127,Usinsk,RU,2021-08-03 00:34:13,65.9939,57.5281,56.1,90,10,5.55
128,Cabinda,AO,2021-08-03 00:34:14,-5.55,12.2,71.51,93,80,2.62
129,Boda,CF,2021-08-03 00:34:14,4.3189,17.4695,68.85,95,98,2.98
130,Buala,SB,2021-08-03 00:34:14,-8.145,159.5921,80.85,80,82,6.44
131,Upernavik,GL,2021-08-03 00:34:15,72.7868,-56.1549,46.78,68,98,3.83
132,Cape Town,ZA,2021-08-03 00:33:01,-33.9258,18.4232,57.11,94,0,2.3
133,Khatanga,RU,2021-08-03 00:34:15,71.9667,102.5,72.86,47,100,14.12
134,Kidal,ML,2021-08-03 00:34:15,18.4411,1.4078,86.4,43,100,6.96
135,Shakhtinsk,KZ,2021-08-03 00:34:16,49.71,72.5872,54.16,57,4,8.88
136,Mujiayingzi,CN,2021-08-03 00:34:16,42.1167,118.7833,71.56,69,7,4.72
137,Mar Del Plata,AR,2021-08-03 00:32:22,-38.0023,-57.5575,51.87,80,0,3.0
138,Mackenzie,CA,2021-08-03 00:32:29,55.2999,-123.1698,75.42,64,1,2.3
139,Narrabri,AU,2021-08-03 00:34:16,-30.3167,149.7833,60.89,72,90,5.75
140,Conner,PH,2021-08-03 00:34:17,17.7964,121.3275,85.75,66,100,3.38
141,Antalaha,MG,2021-08-03 00:34:17,-14.9003,50.2788,63.99,88,0,5.03
142,Grand Bend,CA,2021-08-03 00:34:17,43.3168,-81.7498,70.84,80,6,1.36
143,Hannibal,US,2021-08-03 00:34:17,39.7084,-91.3585,76.15,60,75,0.0
144,Valdivia,CL,2021-08-03 00:30:47,-39.8142,-73.2459,47.44,97,25,2.46
145,Avarua,CK,2021-08-03 00:34:18,-21.2078,-159.775,80.65,74,90,12.66
146,Zimovniki,RU,2021-08-03 00:34:18,47.1483,42.4633,76.98,41,2,3.69
147,Narasannapeta,IN,2021-08-03 00:34:18,18.4167,84.05,82.62,71,96,4.18
148,Kutum,SD,2021-08-03 00:32:29,14.2,24.6667,72.88,67,43,14.56
149,Teguise,ES,2021-08-03 00:34:19,29.0605,-13.564,68.22,83,20,17.27
150,Pisco,PE,2021-08-03 00:34:19,-13.7,-76.2167,62.65,82,75,13.8
151,Cidreira,BR,2021-08-03 00:34:19,-30.1811,-50.2056,52.21,87,0,4.0
152,Christiana,ZA,2021-08-03 00:34:20,-27.914,25.1611,45.61,29,0,9.06
153,Urumqi,CN,2021-08-03 00:33:13,43.801,87.6005,72.55,23,0,11.18
154,Bilibino,RU,2021-08-03 00:32:17,68.0546,166.4372,38.82,63,100,12.12
155,Leo,BF,2021-08-03 00:34:20,11.1,-2.1,74.61,75,100,6.26
156,Comrie,GB,2021-08-03 00:34:21,56.3791,-3.9949,52.32,97,17,1.01
157,Provideniya,RU,2021-08-03 00:32:52,64.3833,-173.3,53.71,76,90,6.71
158,Saint-Georges,GD,2021-08-03 00:34:21,12.0564,-61.7485,80.28,89,20,4.61
159,Fortuna,US,2021-08-03 00:34:22,40.5982,-124.1573,66.92,74,20,5.99
160,Chunoyar,RU,2021-08-03 00:34:22,57.4467,97.3217,66.2,70,70,4.21
161,Severo-Kurilsk,RU,2021-08-03 00:32:54,50.6789,156.125,53.96,74,100,16.91
162,Cayenne,GF,2021-08-03 00:34:22,4.9333,-52.3333,78.1,87,40,2.3
163,Sorland,NO,2021-08-03 00:34:23,67.667,12.6934,50.67,75,100,11.65
164,Leningradskiy,RU,2021-08-03 00:34:23,69.3833,178.4167,33.21,100,100,9.53
165,Nome,US,2021-08-03 00:31:04,64.5011,-165.4064,59.16,88,90,16.11
166,Liverpool,GB,2021-08-03 00:29:44,53.4106,-2.9779,55.78,79,0,1.01
167,Gornyy,RU,2021-08-03 00:34:23,55.1153,83.9059,58.8,93,31,8.43
168,Birao,CF,2021-08-03 00:34:24,10.2849,22.7882,69.73,96,81,4.23
169,Acari,PE,2021-08-03 00:34:24,-15.4311,-74.6158,68.31,67,24,3.89
170,Havelock,US,2021-08-03 00:31:45,34.8791,-76.9013,77.94,93,16,1.01
171,Chokurdakh,RU,2021-08-03 00:34:24,70.6333,147.9167,53.64,39,18,8.86
172,Bo Phloi,TH,2021-08-03 00:34:25,14.3236,99.5161,79.61,75,100,7.67
173,Naantali,FI,2021-08-03 00:34:25,60.4674,22.0243,57.85,88,90,8.05
174,San Patricio,US,2021-08-03 00:34:25,28.017,-97.5169,89.46,63,80,13.33
175,Kahului,US,2021-08-03 00:32:24,20.8947,-156.47,84.94,67,40,26.46
176,Atherton,GB,2021-08-03 00:34:26,53.5237,-2.4935,53.78,88,8,1.74
177,Anchorage,US,2021-08-03 00:31:46,61.2181,-149.9003,84.38,56,1,5.75
178,Dingle,PH,2021-08-03 00:34:26,10.9995,122.6711,85.19,72,100,14.9
179,Katsuura,JP,2021-08-03 00:31:07,35.1333,140.3,87.82,75,30,10.98
180,Palana,RU,2021-08-03 00:34:26,59.1167,159.9667,45.95,71,89,15.3
181,Puerto Suarez,BO,2021-08-03 00:34:27,-18.95,-57.8,68.49,44,0,4.14
182,Abalak,RU,2021-08-03 00:31:56,58.1286,68.5944,60.17,78,90,4.92
